Denominación_social,Domicilio_social,Latitud,Longitud,Fecha_constitución,CNAE,Objeto_social,Tamaño_empresa_por_facturación,Índice_crec_interanual_ventas,Tamaño_empresa_por_empleados,Empleo_fijo,Empleo_temporal,Teléfono,Estado,URL,Metatag_descripción,RRSS,Cotización_en_bolsa,Actividad_internacional,Capital_social,Empleados,Empleados_año,Resultado
"TRANSPORTES E. HEREDERO, S.A.","CR SORIA, S/N",41.67214,-3.68328,-,4941 Transporte de mercancías por carretera,Transporte y Logística .,-,-,-,-,-,947546364,Activa,-,-,-,-,-,-,0,0,-
"TRANSPORTES ROMERAL, S.A.","C/ BURGO DE OSMA, 1",41.66917,-3.69019,-,4941 Transporte de mercancías por carretera,Transporte y Logística TRANSPORTE DE MERCANCÍA POR CARRETERA,-,-,-,-,-,947500489,Activa,-,-,-,-,-,-,10,10,-
"UREMOVIL, S.L.","Ctra. Valladolid, 46 - Parcela 127 . Pol. Ind. Allendeduero",-,-,-,4511 Venta de automóviles y vehículos de motor ligeros,"Comercio: venta, alquiler, reparaciones Venta de vehículos turismo y todo terreno de Mitsubishi. Servicio técnico y mantenimiento.",-,-,-,-,-,947546344,Activa,-,-,-,-,-,-,1,1,-
"V. TWIN SAYRO MADRID, S.L.","Av. Castilla, 84-86",41.65825,-3.69243,-,4511 Venta de automóviles y vehículos de motor ligeros,"Comercio: venta, alquiler, reparaciones Empresa dedicada a la distribución y venta de prestigiosas marcas del sector de las motos y quad.
También realizamos venta y distribución de accesorios, recambios, equipamiento. Y para finalizar, contamos con servicio técnico.",-,-,-,-,-,947512748,Activa,www.vtwin-es.com,"Tienda de motos y quads y buggies. Taller de reparación y venta de recambios en Aranda de Duero, Burgos. Recambios Originales. Motos De Ocasión. Concesionario Multimarca. Quads,ATV,Accesorios,Recambios,Moto,Cascos,
Equipamiento,Preparaciones,Bombardier,Honda,
Suzuki,Hyosung,Peugeot,scooter,cadenas,filtros,
Piaggio,TGB,Sym,Cagiva,Tuning,baterias,BRP,Can Am,GIVI,outlander,aquila,joymax,RENEGADE ,antirrobos, Maxsym,COMMANDER,Maverick X3, concesionario oficial Can-am,Side By Side,Buggie,",https://www.facebook.com/vtwin.es/,-,-,-,4,4,-
ACEROCHA,"C/ Sol de las Moreras, 13",41.6698,-3.68368,-,4719 Otro comercio al por menor en establecimientos no especializados,"Comercio: venta, alquiler, reparaciones Mobiliario de oficina. Pavimentos: Parquet, moquetas, tarima flotante. Persianas y puertas plegables, falsos techos y mamparas divisorias.",-,-,-,-,-,947500623,Activa,-,-,-,-,-,-,10,10,-
AGRO LOPEZ ARANDA S.L.,"Av. de Portugal, 101",41.66606,-3.72761,-,"463 Comercio al por mayor de productos alimenticios, bebidas y tabaco","Comercio: venta, alquiler, reparaciones Frutas y verduras.",-,-,-,-,-,947509075,Activa,-,-,-,-,-,-,4,4,-
"ALBALÁ GESTIÓN CORREDURÍA DE SEGUROS, S.L.","Plaza Claret, 6 Bajo",-,-,-,6622 Actividades de agentes y corredores de seguros,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Seguros generales",-,-,-,-,-,947508543 / 947508998,Activa,www.segurosalbala.com,-,-,-,-,-,2,2,-
"ARPAPE, S.L.","Av. Luis Mateos,  Nº 88 (Pol. Ind)",41.66491,-3.70564,-,2361 Fabricación de elementos de hormigón para la construcción,"Extracción y transformación de minerales Excavaciones, áridos, hormigones, prefabricados, forjados, ferralla, excavaciones y transportes. Aglomerados en frío y construcción.",-,-,-,-,-,947502216,Activa,www.arpape.com,"Constructora, Hormigones, Aridos, Prefabricados, Forjados de edificación, Ferralla, Excavaciones, Transportes, Aglomerado Asfáltico y Grava-Cemento - Aranda de Duero (Burgos) aranda de duero,burgos,constructora,áridos,Aglomerado Asfáltico y Grava-Cemento,hormigones,excavaciones y transportes,Forjados de edificación,prefabricados,ferralla","https://www.facebook.com/arpapesl, https://twitter.com/ARPAPE1, https://www.linkedin.com/company/arpape-s-l-",-,-,-,55,55,-
"ARRANZ DE BLAS ASESORES, S.L.","Plaza Jardines de Don Diego, Nº 5 - 1º E",41.68562,-3.44861,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Asesoría laboral, contable, jurídica y fiscal",-,-,-,-,-,947512385,Activa,www.arranzdeblas.com,-,-,-,-,-,2,2,-
"ANGULO ARTICULOS DE REGALO, S.L.","Ctra. Madrid - Irún, Km. 160,900",41.7041941,-3.6856337,-,2349 Fabricación de otros productos cerámicos,"Comercio: venta, alquiler, reparaciones Artículos de regalo, souvenirs.",-,-,-,-,-,947500771 / 947546462,Activa,www.angulosl.com,-,-,-,-,-,8,8,-
ALMACENES MOLINERO,"C/ LAS MONJAS, 2",41.67072,-3.68657,-,"4759 Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados","Comercio: venta, alquiler, reparaciones MUEBLES Y DECORACIÓN",-,-,-,-,-,947500220,Activa,-,-,-,-,-,-,1,1,-
"ANSOMA, S.L.","Av. Miranda do Douro, 5 - Bajo",-,-,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Fiscal, contable y laboral.",-,-,-,-,-,947511732,Activa,www.montescseguros.com,- -,,-,-,-,2,2,-
"ARAUZO ASESORIA, S.L.",C/ Carrequemada Nº 27,41.6718,-3.68363,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Fiscal, contable, laboral y seguros ALLIANZ.",-,-,-,-,-,947511800,Activa,-,-,-,-,-,-,2,2,-
ALTA LOGISTICA S.A.,"Pol. Ind. Allendeduero - Av. Portugal, Parc. 78",41.66678,-3.72461,-,4941 Transporte de mercancías por carretera,Transporte y Logística Agencia de transportes.,-,-,-,-,-,947512424,Activa,-,-,-,-,-,-,4,4,-
"BEGOÑA PALOMERO, S.L.","Jardines de Don Diego, 7",41.67003,-3.68946,-,5510 Hoteles y alojamientos similares,"Hostelería, ocio y turismo Servicios de hostelería.",-,-,-,-,-,947502902,Activa,www.asadordearanda.com,- -,"https://www.facebook.com/asadordearandaoficial/, https://www.instagram.com/asadordearanda/, https://www.linkedin.com/company/5387561?trk=hp-feed-gorilla-suggestedsearch1-companytext",-,-,-,7,7,-
"AGENCIA DE SEGUROS FERNANDO CASADO, S.L.","Plaza Padre Claret,  Nº 7 - Bajo",-,-,-,4334 Pintura y acristalamiento,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Agencia de Seguros. Gestoría. Asesoría fiscal, contable y laboral.",-,-,-,-,-,947505000,Activa,-,-,-,-,-,-,6,6,-
"CAFYTAP ARANDA, S.L.","C/ San Francisco, Nº 31",41.67439,-3.68597,-,561 Restaurantes y puestos de comidas,"Hostelería, ocio y turismo Especializados en tapas, pinchos, menús y raciones.",-,-,-,-,-,947513641 / 626591513,Activa,-,-,-,-,-,-,9,9,-
"CARLOS DE PEDRO MANSO, S.A.","Av. Portugal, parcela 12B 2",41.66766,-3.71766,-,4634 Comercio al por mayor de bebidas,"Comercio: venta, alquiler, reparaciones Cervezas, refrescos, licores, vinos, conservas, cafés, aguas, zumos y venta de productos de limpieza.",-,-,-,-,-,947505269,Activa,-,-,-,-,-,-,10,10,-
"CARPINTERIA EBANISTERÍA LA ENCINA, S.C.","Ctra. de la Aguilera Km. 0,500. Centro Comercial Sabeco -  Local  1",41.68903,-3.71961,-,1623 Fabricación de otras estructuras de madera y piezas de carpintería y ebanistería para la construcción,"Industrias transformadoras y manufactureras Carpintería, ebanistería, puertas, armarios empotrados, cocinas, muebles a medida, bancos y mesas de bodega, parquét flotante, escalera.",-,-,-,-,-,947514109,Activa,-,-,-,-,-,-,2,2,-
"CARRETILLAS ARANDA, S.L.",C/ Pizarro S/N,41.67029,-3.67735,-,8621 Actividades de medicina general,"Comercio: venta, alquiler, reparaciones Alquiler y venta de carretillas elevadoras.",-,-,-,-,-,947512509,Activa,www.carretillasaranda.com,-,-,-,-,-,2,2,-
"CARROCERÍAS RICHARD DE ARANDA, S.L.","Av. Montecillo, Parc. 23",41.67139,-3.70975,-,4520 Mantenimiento y reparación de vehículos de motor,"Industrias transformadoras y manufactureras Pintura de vehículos industriales, cambio de lunas de todo tipo de vehículos, trabajos de chapa de vehículos industriales.",-,-,-,-,-,947507334,Activa,www.carroceriasrichard.com,-,-,-,-,-,10,10,-
"DIEGO MIGUEL, S.L.L.",PLAZA PADRE CLARET Nº 7.1º PTA 5,41.67003,-3.68946,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación ASESORIA A EMPRESAS LABORAL, FISCAL Y CONTABLE",-,-,-,-,-,947500678,Activa,-,-,-,-,-,-,3,3,-
"CLÍNICA DENTAL DOCTOR ORDOÑEZ, S.L.",C/ Postas Nº 8 - Bajo.,41.66979,-3.68743,-,8623 Actividades odontológicas,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Clínica dental, estomatólogo y odontólogo.",-,-,-,-,-,947511808,Activa,-,-,-,-,-,-,5,5,-
"GUARDERÍA CIEMPIES, S.C.","Av. Burgos, 15 Bajo",42.33745,-3.70038,-,4722 Comercio al por menor de carne y productos cárnicos en establecimientos especializados,Otras Actividades Servicios de guardería de lunes a viernes de 07:45 A 20:00 Horas. Abierto en agosto de 07:45 a 14:00 Horas. Para niños de 4 meses a 3 años.,-,-,-,-,-,947512833,Activa,-,-,-,-,-,-,3,3,-
"AUTOMAZUCA, S.L.L.","Ctra. Salas, Km. 1400 - Próximamente les atenderemos en el Polígono Prado Marina.",41.67003,-3.68946,-,4520 Mantenimiento y reparación de vehículos de motor,"Comercio: venta, alquiler, reparaciones Servicios de reparación y mantenimiento de vehículos, servicio oficial agentes Fiat.",-,-,-,-,-,947510687,Activa,-,-,-,-,-,-,5,5,-
CÉLINE ROUX,"Centro Comercial Isilla - C/ Isilla, 3, 1ª planta",-,-,-,8559 Otra educación n.c.o.p.,Otras Actividades Cursos: inglés - francés - alemán - italiano - chino- español para extranjeros-lengua- ruso. Traducciones. estancias lingüísticas.,-,-,-,-,-,947505117,Activa,-,-,-,-,-,-,8,8,-
"TONELERÍA DUERO, S.L.",C/ Logroño Nº 32,41.66627,-3.7059,-,"1629 Fabricación de otros productos de madera; artículos de corcho, cestería y espartería",Industrias transformadoras y manufactureras Barricas de roble.,-,-,-,-,-,947515006,Activa,www.toneleria.es,"Productos de Tonelería Duero son barricas y tinos de madera de roble de diversos tamaños y diversos tipos de madera: roble francés, americano y español -","https://www.facebook.com/toneleria.duero, https://twitter.com/toneleriaduero?lang=es, https://www.instagram.com/toneleriaduero/",-,-,-,5,5,-
"ALAMEDA Y ASOCIADOS ASESORES, S.L.","Plaza Jardines de Don Diego, 6 - 1ºC",-,-,-,6832 Gestión y administración de la propiedad inmobiliaria,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Fiscal - Laboral - Contable- Administración de fincas",-,-,-,-,-,947502100,Activa,www.todoasesoria.es / www.fincasaranda.es,-,-,-,-,-,4,4,-
COMERCIAL GLASBUR S.L.,AVDA SERIAL Nº1 BAJO,-,-,-,"4673 Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","Comercio: venta, alquiler, reparaciones pintura de productos de decoración y productos de decoración.",-,-,-,-,-,947513487,Activa,www.glasbur.com,-,-,-,-,-,9,9,-
"COMERCIAL RIBEREÑA, S.L.","Av. Extremadura, Parc. 55",41.66437,-3.71927,-,"4673 Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","Comercio: venta, alquiler, reparaciones Taller de carpintería, escaleras, puertas, ventanas, armarios empotrados.",-,-,-,-,-,947509220,Activa,-,-,-,-,-,-,2,2,-
"CONSTRUCCIONES SIRICIO GARCÍA, S.A.",Plaza Jardines de Don Diego Nº 6 - 6º C,-,-,-,4121 Construcción de edificios residenciales,Construcción e Inmobiliarias Promoción y construccion de viviendas. Alquileres. Obra civil y obra pública.,-,-,-,-,-,947503265,Activa,-,-,-,-,-,-,4,4,-
"SIRICIO GARCIA, S.A.","Av. Castilla, Nº 25",41.66769,-3.69082,-,412 Construcción de edificios,"Hostelería, ocio y turismo Hotel cafetería, desayuno buffet, parking privado, acceso internet, climatización.",-,-,-,-,-,947048058,Activa,www.hotel-alisi.com,-,-,-,-,-,13,13,-
"COMERCIAL DE CALEFACCION Y DE SANEAMIENTOS, S.A.","Plaza Santiago, 2 - Bajo",-,-,-,4730 Comercio al por menor de combustible para la automoción en establecimientos especializados,"Comercio: venta, alquiler, reparaciones Fontanería y calefacción.",-,-,-,-,-,947500464,Activa,-,-,-,-,-,-,1,1,-
"INSTALACIONES ELECTRICAS SANCHA, S.L.","AV MONTECILLO, 24",41.67172,-3.70917,-,4321 Instalaciones eléctricas,Energía y agua .,-,-,-,-,-,947511298,Activa,www.instalacioneselectricas-sancha.com,-,-,-,-,-,15,15,-
"INTEGRAL ARANDA ASESORIA, S.L.","C/ Postas, 14",41.6698,-3.68699,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Asesoría laboral y Fiscal.",-,-,-,-,-,947509696,Activa,www.integralaranda.com,-,-,-,-,-,6,6,-
"INTEGRAL ARANDA CORREDURÍA DE SEGUROS, S.L.","C/ Postas, 14",41.6698,-3.68699,-,6622 Actividades de agentes y corredores de seguros,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Correduría de Seguros",-,-,-,-,-,947509696,Activa,www.integralaranda.com,-,-,-,-,-,2,2,-
"INTEGRAL ARANDA GESTORÍA ADMINISTRATIVA, S.L.","C/ Postas, 14",41.6698,-3.68699,-,"6920 Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Gestoría",-,-,-,-,-,947509696,Activa,www.integralaranda.com,-,-,-,-,-,3,3,-
"ISAÍAS DE BLAS, S.L.","Av Portugal, 2",41.66766,-3.71766,-,"4639 Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco","Comercio: venta, alquiler, reparaciones Venta alimentación, droguería y bebida al por mayor.",-,-,-,-,-,947509071,Activa,-,-,-,-,-,-,8,8,-
"ALMACENES BASILIO CRIADO, S.L.","Avda. Luis Mateos, S/N y Plaza del Trigo Nº 6",41.66204,-3.68756,-,"4752 Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados","Comercio: venta, alquiler, reparaciones Comercio mayorista y minorista de materiales de construcción en Av. Luis Mateos; y comercio mixto, regalos, listas de boda y artículos de viaje en Pza. del Trigo 6",-,-,-,-,-,947500941,Activa,www.basiliocriado.es,"ALMACENES BASILIO CRIADO, S.L. Empresa familiar, fundada en 1958, en Aranda de Duero (Burgos) con dos establecimientos ",,-,-,-,8,8,-
"ACADEMIA FORINFO, S.L.","Plaza Santo Cristo, 2",41.67056,-3.69003,-,"4741 Comercio al por menor de ordenadores, equipos periféricos y programas informáticos en establecimientos especializados","Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Academia de informática, comercio minorista de equipos y consumibles informáticos.",-,-,-,-,-,947511064,Activa,-,-,-,-,-,-,1,1,-
"ACRABU, S. COOP.","Av. Montecillo, Parc. R-68",41.67155,-3.70845,-,161 Aserrado y cepillado de la madera,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Servicios relacionados con la agricultura. Comercio mayorista de fitosanitarios y fertilizantes.",-,-,-,-,-,947509966,Activa,www.acrabu.com,-,-,-,-,-,1,1,-
"ADECCO EMPRESA DE TRABAJO TEMPORAL, S.A.","C/ Isilla, 3",41.6712,-3.68707,-,7820 Actividades de las empresas de trabajo temporal,Otras Actividades Empresa de trabajo temporal.,-,-,-,-,-,947511858,Activa,www.adecco.es,"Trabajamos cada día para mejorar la vida de las empresas y las personas, a través del desarrollo de las soluciones en RRHH más especializadas y competitivas del mundo. Seleccionamos el mejor talento para las compañías. Consulta nuestras ofertas de empleo, consejos y orientación laboral. ¡Desarrolla tu carrera profesional con Adecco! -","https://www.facebook.com/AdeccoEs, https://twitter.com/Adecco_es, https://www.instagram.com/adeccoes/, https://www.linkedin.com/company/adecco",-,-,-,0,0,-
"MOTOR ARANDA, S.A.","Av. Portugal, 100",41.66562,-3.73377,-,4519 Venta de otros vehículos de motor,"Comercio: venta, alquiler, reparaciones Venta y reparación de vehículos automóviles.",-,-,-,-,-,947546081,Activa,-,-,-,-,-,-,22,22,-
"AGROALIMENTACIÓN DE LA RIBERA, S.L.","C/ Constantín, Parc. R-77",41.67065,-3.70832,-,1013 Elaboración de productos cárnicos y de volatería,"Comercio: venta, alquiler, reparaciones Elaboración y comercio mayorista de embutidos y morcillas de Burgos.",-,-,-,-,-,947511989,Activa,www.agroribera.com,-,-,-,-,-,0,0,-
"AGROSERVICIOS VIDUERO, S.L.","C/ Sol de las Moreras, 3 - 1º Izda",40.31094,-3.8946,-,4675 Comercio al por mayor de productos químicos,Otras Actividades Servicios agrarios.,-,-,-,-,-,947511145,Activa,-,-,-,-,-,-,2,2,-
"AGUAS MINERALES PASCUAL, S.L.","Ctra. Palencia, s/n",41.67427,-3.69506,-,4634 Comercio al por mayor de bebidas,Energía y agua Producción y comercio al por mayor de agua mineral.,-,-,-,-,-,947529100,Activa,www.lechepascual.es,Cuidamos nuestras vacas: en Leche Pascual somos el único gran fabricante en certificar todas nuestras granjas con el sello de Bienestar Animal de AENOR. -,"https://www.facebook.com/LechePascual, https://twitter.com/lechepascual_es, https://www.instagram.com/lechepascual_es/",-,-,-,250,250,-
"ABONOS - CEREALES, S.L.","Pedro Sanz Abad, 1, Bajo",-,-,-,1102 Elaboración de vinos,Otras Actividades Comercio mayorista de abonos y cereales,-,-,-,-,-,947512396,Activa,-,-,-,-,-,-,8,8,-
ALICIA DE ÁGUEDA DEL CURA,C/ Barrionuevo Nº 8,41.67145,-3.68838,-,4751 Comercio al por menor de textiles en establecimientos especializados,"Comercio: venta, alquiler, reparaciones Comercio al por menor de tarimas, papel, moquetas... - Servicio de aplicación de pintura",-,-,-,-,-,947503542 // 608481640,Activa,-,-,-,-,-,-,1,1,-
"MUSICAL JOYMI, S.L.","ALMACÉN: C/ Francisco Maldonado, Nº 3 - Bajo // TIENDA: C/ Barrionuevo 2 esquina Pza. Santa María",-,-,-,461 Intermediarios del comercio,"Otras Actividades ALMACÉN: Venta de CD´S y DVD'S, videojuegos... otro comercio al por mayor. Y en TIENDA: Venta de música todos los formatos, videojuegos, consolas, VCD´S y MP4",-,-,-,-,-,Almacén: 947508471 // Tienda: 947503616,Activa,-,-,-,-,-,-,5,5,-
"SUMINISTROS INDUSTRIALES HERRERA, S.A.","Ctra. Valladolid, 145A - Pol. Ind. Allendeduero",41.624735,-4.71678,-,4778 Otro comercio al por menor de artículos nuevos en establecimientos especializados,"Comercio: venta, alquiler, reparaciones Comercio de maquinaria.",-,-,-,-,-,947546400,Activa,www.suministrosherrera.es,-,-,-,-,-,17,17,-
"SIRO VAZQUEZ, S.L.","C/ Puerta Nueva, 3",41.6714608,-3.685657,-,"4674 Comercio al por mayor de ferretería, fontanería y calefacción","Comercio: venta, alquiler, reparaciones Mayorista y minorista de saneamientos, grifería, calefacción, etc.",-,-,-,-,-,947501118,Activa,www.sirovazquez.es,-,-,-,-,-,62,62,-
NÚTER FEED S.A.U.,"C/ Segovia, S/N",41.66213,-3.70418,-,1091 Fabricación de productos para la alimentación de animales de granja,Industrias transformadoras y manufactureras Fabricación de piensos.,-,-,-,-,-,(+34) 947 54 60 43,Activa,www.saprogal.com,-,-,-,-,-,178,178,-
"PDH PASCUAL, S.L.","Ctra. de Palencia, S/N",41.67427,-3.69506,-,4520 Mantenimiento y reparación de vehículos de motor,Industrias transformadoras y manufactureras Huevos y otros productos.,-,-,-,-,-,947508925,Activa,www.lechepascual.es,Cuidamos nuestras vacas: en Leche Pascual somos el único gran fabricante en certificar todas nuestras granjas con el sello de Bienestar Animal de AENOR. -,"https://www.facebook.com/LechePascual, https://twitter.com/lechepascual_es, https://www.instagram.com/lechepascual_es/",-,-,-,250,250,-
"PESCADOS PEDRO, S.L.","C/ Pizarro, 16",41.67047,-3.6794,-,4638 Comercio al por mayor de pescados y mariscos y otros productos alimenticios,"Comercio: venta, alquiler, reparaciones Pescadería.",-,-,-,-,-,947505490,Activa,-,-,-,-,-,-,6,6,-
"POR BLAN, S.A.","Ctra. Valladolid, 2",41.66514,-3.70982,-,4321 Instalaciones eléctricas,"Energía y agua Montajes Eléctricos Industriales, fabricación de maquinaria Alta y Baja tensión, equipos de bombeo, Bobinado de motores Ingenería eléctrica y software",-,-,-,-,-,947501364,Activa,-,-,-,-,-,-,38,38,-
"RIOCARNE, S.L.","C/ Duero, 7",41.6583,-3.69331,-,4719 Otro comercio al por menor en establecimientos no especializados,"Comercio: venta, alquiler, reparaciones Carnicería.",-,-,-,-,-,947507600,Activa,-,-,-,-,-,-,5,5,-
"PESCA CEREZO, S.L.","Ctra. Valladolid, Parcela 139",41.66557,-3.72125,-,4638 Comercio al por mayor de pescados y mariscos y otros productos alimenticios,"Comercio: venta, alquiler, reparaciones Venta de pescados y mariscos frescos y congelados.",-,-,-,-,-,947511756,Activa,-,-,-,-,-,-,5,5,-
"ALFARERíA FéLIX MARTíN, S.C.","La Presa, 1",41.67422,-3.68777,-,2341 Fabricación de artículos cerámicos de uso doméstico y ornamental,"Comercio: venta, alquiler, reparaciones Empresa artesana de alfarería.",-,-,-,-,-,947501361,Activa,-,-,-,-,-,-,0,0,-
"LAMINADOS SIDERÚRGICOS DEL DUERO, S.A.","Av. Costaján, Nº 19",41.69232,-3.68488,-,4391 Construcción de cubiertas,Otras Actividades Almacén y venta de hierro,-,-,-,-,-,947500267,Activa,www.aceralia.com,-,-,-,-,-,11,11,-
BODEGA VIMARTIPAL,"Av. Extremadura, 55 A",41.66437,-3.71927,-,1102 Elaboración de vinos,"Comercio: venta, alquiler, reparaciones Vinoteca.",-,-,-,-,-,947548091,Activa,-,-,-,-,-,-,1,1,-
"AGROTÉCNICA DEL DUERO, S.L.","Av. El Ferial, 6",41.67332,-3.68405,-,4675 Comercio al por mayor de productos químicos,Otras Actividades Intermediarios comerciales de materias primas agrarias. Distribución de productos fitosanitarios y semillas.,-,-,-,-,-,947502114,Activa,-,-,-,-,-,-,9,9,-
"LECHE PASCUAL ESPAÑA, S.L.","Ctra. Palencia, S/N",41.67427,-3.69506,-,4399 Otras actividades de construcción especializada n.c.o.p.,Energía y agua Empresa de productos lácteos.,-,-,-,-,-,947529100,Activa,www.lechepascual.es,Cuidamos nuestras vacas: en Leche Pascual somos el único gran fabricante en certificar todas nuestras granjas con el sello de Bienestar Animal de AENOR. -,"https://www.facebook.com/LechePascual, https://twitter.com/lechepascual_es, https://www.instagram.com/lechepascual_es/",-,-,-,722,722,-
"MARAKOVA, S.L.","C/ Isilla, 3",41.6712,-3.68707,-,1089 Elaboración de otros productos alimenticios n.c.o.p.,"Serv. sanitarios, financieros, empleo, seguros, informáticos, asesoría empresas, of. técnicas, publicidad y M. Comunicación Servicios y estudios finanzieros",-,-,-,-,-,947511663,Activa,-,-,-,-,-,-,0,0,-
"HERMANOS CUÑADO ESTEBAN, S.L.","C/ Haza, S/N",41.67036,-3.70199,-,4631 Comercio al por mayor de frutas y hortalizas,"Comercio: venta, alquiler, reparaciones Venta al por mayor de frutas y verduras.",-,-,-,-,-,947511063,Activa,-,-,-,-,-,-,8,8,-
"S.C.L., DEL DUERO","Ctra. Soria, Km. 267,5",41.6724,-3.68517,-,2511 Fabricación de estructuras metálicas y sus componentes,Otras Actividades Productos agrícolas,-,-,-,-,-,947501428,Activa,-,-,-,-,-,-,5,5,-
"BODEGA VIRGEN DE LAS VIÑAS, S.COOP.","Ctra. de Burgos, s/n",41.6706,-3.67888,-,8731 Asistencia en establecimientos residenciales para personas mayores,"Otras Actividades Elaboración, crianza, embotellado y comercio al por mayor y menor de vino de la D.O. Ribera del Duero de las marcas: Tierra de Aranda, Vega Valerio, Viña Hijosa y Pago de Breda.",-,-,-,-,-,947501311,Activa,www.vinotierraranda.com,En Bodega Tierra Aranda tenemos una larga tradición de esfuerzo y constancia que marca los vinos D.O. Ribera del Duero que vas a disfrutar. ¡Descúbrelos! -,,-,-,-,5,5,-
"BODEGA Y VIÑEDOS MARTÍN BERDUGO, S.L.","Ctra. La Colonia, s/n",41.65599,-3.59416,-,1102 Elaboración de vinos,"Otras Actividades Elaboración, crianza, embotellado y comercio al por mayor y menor de vino con D.O. Ribera de Duero.",-,-,-,-,-,947506331,Activa,www.martin.berdugo.com,-,-,-,-,-,12,12,-
"BODEGAS EL LAGAR DE ISILLA, S.A.",Antigua Ctra. Nal. 122 S/N - La Vid,-,-,-,1102 Elaboración de vinos,"Otras Actividades Elaboración, crianza y comercio al por mayor y menor de vino con D.O. Ribera de Duero - Recorridos enoturísticos - Cursos de catas - Degustación - Delicatessen",-,-,-,-,-,947530434,Activa,www.lagarisilla.es,"Hotel con encanto 4 estrellas en Ribera del Duero, ambiente unico, tranquilo con todas las comodidades. A 18 km de Aranda de Duero en la bodega El Lagar de Isilla El Lagar de Isilla, hotel  Ribera del Duero, hotel con encanto,  boutique, hotel del vino,  aranda de duero,escapada, ofertas alojamientos,fin de semana, enoturismo","https://www.facebook.com/lagarisilla, https://twitter.com/lagarisilla, https://instagram.com/lagarisilla?igshid=1eb0vsm2dz8cv",-,-,-,30,30,-
"BODEGAS GARCÍA DE ARANDA, S.A.","Ctra. Soria, s/n",41.67214,-3.68328,-,1102 Elaboración de vinos,"Otras Actividades Elaboración, crianza y comercio al por mayor y menor de vino con D.O. Ribera de Duero. Comercialización de vinos con D.O.Rueda.",-,-,-,-,-,947501817,Activa,www.bodegasgarcia.com,- -,https://www.facebook.com/bodegasgarciadearanda,-,-,-,1,1,-
"ALMACENES SUALDEA, S.L.","Avda. Valladolid, Parc. 130-131-132",41.66682,-3.70815,-,4631 Comercio al por mayor de frutas y hortalizas,"Comercio: venta, alquiler, reparaciones Cultivo y comercio al por mayor de frutas y hortalizas.",-,-,-,-,-,947500728,Activa,-,-,-,-,-,-,8,8,-
"BULEVAR ARANDA, S.L.","Pza. San Antonio, 1 -  Bajo",28.11122,-15.42633,-,4754 Comercio al por menor de aparatos electrodomésticos en establecimientos especializados,"Comercio: venta, alquiler, reparaciones Venta y reparación de equipos informáticos. Informática de consumo",-,-,-,-,-,947509092,Activa,www.beep.es,"Tu tienda BEEP de confianza también online. Compra lo último en informática y electrónica con los mejores precios. Portátiles, PC, componentes, gaming, smartphones… ","https://www.facebook.com/beep.informatica, https://twitter.com/beep_es",-,-,-,1,1,-
"CAMPSA ESTACIONES DE SERVICIO, S.A.","Avda. Castilla, 64",41.6629553,-3.6916836,-,4730 Comercio al por menor de combustible para la automoción en establecimientos especializados,"Comercio: venta, alquiler, reparaciones Gasolinera, tienda, venta de butano y servicio de lavado",-,-,-,-,-,947501000 // 947507606,Activa,-,-,-,-,-,-,9,9,-
